"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Newman","MRSA252","HO_5096_0412","S0385"
"Cluster_839","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01714_+_+_Newman_01715_+_+_DT","MRSA252_+_+_MRSA252_01782_+_+_MRSA252_01783_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_01694_+_+_HO_5096_0412_01695_+_+_DT","S0385_+_+_S0385_01797_+_+_S0385_01798_+_+_DT"
"Cluster_233","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00542_+_+_Newman_00543_+_+_CO_F","MRSA252_+_+_MRSA252_00534_+_+_MRSA252_00535_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00484_+_+_HO_5096_0412_00485_+_+_CO_F","S0385_+_+_S0385_00615_+_+_S0385_00616_+_+_CO_F"
"Cluster_1423","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01647_+_+_Newman_01648_+_+_CO_R","MRSA252_+_+_MRSA252_01710_+_+_MRSA252_01711_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01629_+_+_HO_5096_0412_01630_+_+_CO_R","S0385_+_+_S0385_01732_+_+_S0385_01733_+_+_CO_R"
"Cluster_1304","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02502_+_+_Newman_02503_+_+_CO_F","MRSA252_+_+_MRSA252_02515_+_+_MRSA252_02516_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_02423_+_+_HO_5096_0412_02424_+_+_CO_F","S0385_+_+_S0385_02490_+_+_S0385_02491_+_+_CO_F"
"Cluster_2326","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02342_+_+_Newman_02343_+_+_CO_R","MRSA252_+_+_MRSA252_02348_+_+_MRSA252_02349_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02261_+_+_HO_5096_0412_02262_+_+_CO_R","S0385_+_+_S0385_02327_+_+_S0385_02328_+_+_CO_R"
"Cluster_2071","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02593_+_+_Newman_02594_+_+_DT","MRSA252_+_+_MRSA252_02604_+_+_MRSA252_02605_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02515_+_+_HO_5096_0412_02516_+_+_DT","S0385_+_+_S0385_02577_+_+_S0385_02578_+_+_DT"
"Cluster_1769","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00832_+_+_Newman_00833_+_+_DT","MRSA252_+_+_MRSA252_00859_+_+_MRSA252_00860_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00772_+_+_HO_5096_0412_00773_+_+_DT","S0385_+_+_S0385_00907_+_+_S0385_00908_+_+_DT"
"Cluster_1997","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00763_+_+_Newman_00764_+_+_DP","MRSA252_+_+_MRSA252_00788_+_+_MRSA252_00789_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00699_+_+_HO_5096_0412_00700_+_+_DP","S0385_+_+_S0385_00835_+_+_S0385_00836_+_+_DP"
"Cluster_2696","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01279_+_+_Newman_01280_+_+_CO_F","MRSA252_+_+_MRSA252_01249_+_+_MRSA252_01250_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01161_+_+_HO_5096_0412_01162_+_+_CO_F","S0385_+_+_S0385_01303_+_+_S0385_01304_+_+_CO_F"
"Cluster_1220","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01633_+_+_Newman_01634_+_+_DT","MRSA252_+_+_MRSA252_01696_+_+_MRSA252_01697_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_01615_+_+_HO_5096_0412_01616_+_+_DT","S0385_+_+_S0385_01718_+_+_S0385_01719_+_+_DT"
"Cluster_1752","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01921_+_+_Newman_01922_+_+_DP","MRSA252_+_+_MRSA252_01995_+_+_MRSA252_01996_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01901_+_+_HO_5096_0412_01902_+_+_DP","S0385_+_+_S0385_02007_+_+_S0385_02008_+_+_DP"
"Cluster_1132","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02731_+_+_Newman_02732_+_+_DP","MRSA252_+_+_MRSA252_02734_+_+_MRSA252_02735_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02664_+_+_HO_5096_0412_02665_+_+_DP","S0385_+_+_S0385_02713_+_+_S0385_02714_+_+_DP"
"Cluster_2405","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02180_+_+_Newman_02181_+_+_CO_R","MRSA252_+_+_MRSA252_02188_+_+_MRSA252_02189_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02109_+_+_HO_5096_0412_02110_+_+_CO_R","S0385_+_+_S0385_02158_+_+_S0385_02159_+_+_CO_R"
"Cluster_1804","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00201_+_+_Newman_00202_+_+_CO_F","MRSA252_+_+_MRSA252_00251_+_+_MRSA252_00252_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00227_+_+_HO_5096_0412_00228_+_+_CO_F","S0385_+_+_S0385_00273_+_+_S0385_00274_+_+_CO_F"
"Cluster_1311","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00727_+_+_Newman_00728_+_+_CO_F","MRSA252_+_+_MRSA252_00751_+_+_MRSA252_00752_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00662_+_+_HO_5096_0412_00663_+_+_CO_F","S0385_+_+_S0385_00799_+_+_S0385_00800_+_+_CO_F"
"Cluster_1538","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02140_+_+_Newman_02141_+_+_DP","MRSA252_+_+_MRSA252_02147_+_+_MRSA252_02148_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02066_+_+_HO_5096_0412_02067_+_+_DP","S0385_+_+_S0385_02116_+_+_S0385_02117_+_+_DP"
"Cluster_2314","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01488_+_+_Newman_01489_+_+_DP","MRSA252_+_+_MRSA252_01480_+_+_MRSA252_01481_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01400_+_+_HO_5096_0412_01401_+_+_DP","S0385_+_+_S0385_01506_+_+_S0385_01507_+_+_DP"
"Cluster_2209","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01480_+_+_Newman_01481_+_+_CO_R","MRSA252_+_+_MRSA252_01472_+_+_MRSA252_01473_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01392_+_+_HO_5096_0412_01393_+_+_CO_R","S0385_+_+_S0385_01498_+_+_S0385_01499_+_+_CO_R"
"Cluster_1837","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00269_+_+_Newman_00270_+_+_DP","MRSA252_+_+_MRSA252_00308_+_+_MRSA252_00309_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00283_+_+_HO_5096_0412_00284_+_+_DP","S0385_+_+_S0385_00330_+_+_S0385_00331_+_+_DP"
"Cluster_893","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01296_+_+_Newman_01297_+_+_CO_F","MRSA252_+_+_MRSA252_01266_+_+_MRSA252_01267_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01181_+_+_HO_5096_0412_01182_+_+_CO_F","S0385_+_+_S0385_01321_+_+_S0385_01322_+_+_CO_F"
"Cluster_2692","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02358_+_+_Newman_02359_+_+_CO_R","MRSA252_+_+_MRSA252_02364_+_+_MRSA252_02365_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02277_+_+_HO_5096_0412_02278_+_+_CO_R","S0385_+_+_S0385_02343_+_+_S0385_02344_+_+_CO_R"
"Cluster_606","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02693_+_+_Newman_02694_+_+_CO_F","MRSA252_+_+_MRSA252_02696_+_+_MRSA252_02697_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_02620_+_+_HO_5096_0412_02621_+_+_CO_F","S0385_+_+_S0385_02675_+_+_S0385_02676_+_+_CO_F"
"Cluster_2191","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01448_+_+_Newman_01449_+_+_CO_R","MRSA252_+_+_MRSA252_01441_+_+_MRSA252_01442_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01360_+_+_HO_5096_0412_01361_+_+_CO_R","S0385_+_+_S0385_01466_+_+_S0385_01467_+_+_CO_R"
"Cluster_1314","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00745_+_+_Newman_00746_+_+_CO_F","MRSA252_+_+_MRSA252_00769_+_+_MRSA252_00770_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00680_+_+_HO_5096_0412_00681_+_+_CO_F","S0385_+_+_S0385_00817_+_+_S0385_00818_+_+_CO_F"
"Cluster_825","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02267_+_+_Newman_02268_+_+_DT","MRSA252_+_+_MRSA252_02276_+_+_MRSA252_02277_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02194_+_+_HO_5096_0412_02195_+_+_DT","S0385_+_+_S0385_02259_+_+_S0385_02260_+_+_DT"
"Cluster_1326","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01342_+_+_Newman_01343_+_+_CO_R","MRSA252_+_+_MRSA252_01334_+_+_MRSA252_01335_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01232_+_+_HO_5096_0412_01233_+_+_CO_R","S0385_+_+_S0385_01357_+_+_S0385_01358_+_+_CO_R"
"Cluster_1829","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00600_+_+_Newman_00601_+_+_DT","MRSA252_+_+_MRSA252_00591_+_+_MRSA252_00592_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00542_+_+_HO_5096_0412_00543_+_+_DT","S0385_+_+_S0385_00673_+_+_S0385_00674_+_+_DT"
"Cluster_920","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01695_+_+_Newman_01696_+_+_CO_R","MRSA252_+_+_MRSA252_01764_+_+_MRSA252_01765_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01677_+_+_HO_5096_0412_01678_+_+_CO_R","S0385_+_+_S0385_01780_+_+_S0385_01781_+_+_CO_R"
"Cluster_2097","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01493_+_+_Newman_01494_+_+_DP","MRSA252_+_+_MRSA252_01485_+_+_MRSA252_01486_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01405_+_+_HO_5096_0412_01406_+_+_DP","S0385_+_+_S0385_01511_+_+_S0385_01512_+_+_DP"
"Cluster_1348","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01512_+_+_Newman_01513_+_+_DT","MRSA252_+_+_MRSA252_01570_+_+_MRSA252_01571_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_01494_+_+_HO_5096_0412_01495_+_+_DT","S0385_+_+_S0385_01597_+_+_S0385_01598_+_+_DT"
"Cluster_2292","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00703_+_+_Newman_00704_+_+_CO_F","MRSA252_+_+_MRSA252_00727_+_+_MRSA252_00728_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00638_+_+_HO_5096_0412_00639_+_+_CO_F","S0385_+_+_S0385_00775_+_+_S0385_00776_+_+_CO_F"
"Cluster_1921","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00801_+_+_Newman_00802_+_+_CO_F","MRSA252_+_+_MRSA252_00827_+_+_MRSA252_00828_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00738_+_+_HO_5096_0412_00739_+_+_CO_F","S0385_+_+_S0385_00875_+_+_S0385_00876_+_+_CO_F"
"Cluster_1438","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01785_+_+_Newman_01786_+_+_DP","MRSA252_+_+_MRSA252_01857_+_+_MRSA252_01858_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01768_+_+_HO_5096_0412_01769_+_+_DP","S0385_+_+_S0385_01865_+_+_S0385_01866_+_+_DP"
"Cluster_175","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00173_+_+_Newman_00174_+_+_DT","MRSA252_+_+_MRSA252_00221_+_+_MRSA252_00222_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00198_+_+_HO_5096_0412_00199_+_+_DT","S0385_+_+_S0385_00244_+_+_S0385_00245_+_+_DT"
"Cluster_1371","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00075_+_+_Newman_00076_+_+_CO_F","MRSA252_+_+_MRSA252_00127_+_+_MRSA252_00128_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00100_+_+_HO_5096_0412_00101_+_+_CO_F","S0385_+_+_S0385_00145_+_+_S0385_00146_+_+_CO_F"
"Cluster_2493","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01597_+_+_Newman_01598_+_+_CO_R","MRSA252_+_+_MRSA252_01658_+_+_MRSA252_01659_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01579_+_+_HO_5096_0412_01580_+_+_CO_R","S0385_+_+_S0385_01682_+_+_S0385_01683_+_+_CO_R"
"Cluster_1163","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02230_+_+_Newman_02231_+_+_CO_R","MRSA252_+_+_MRSA252_02239_+_+_MRSA252_02240_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02159_+_+_HO_5096_0412_02160_+_+_CO_R","S0385_+_+_S0385_02210_+_+_S0385_02211_+_+_CO_R"
"Cluster_2068","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00176_+_+_Newman_00177_+_+_CO_R","MRSA252_+_+_MRSA252_00224_+_+_MRSA252_00225_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00201_+_+_HO_5096_0412_00202_+_+_CO_R","S0385_+_+_S0385_00247_+_+_S0385_00248_+_+_CO_R"
"Cluster_2018","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00666_+_+_Newman_00667_+_+_DT","MRSA252_+_+_MRSA252_00653_+_+_MRSA252_00654_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00600_+_+_HO_5096_0412_00601_+_+_DT","S0385_+_+_S0385_00738_+_+_S0385_00739_+_+_DT"
"Cluster_723","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01595_+_+_Newman_01596_+_+_DP","MRSA252_+_+_MRSA252_01656_+_+_MRSA252_01657_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01577_+_+_HO_5096_0412_01578_+_+_DP","S0385_+_+_S0385_01680_+_+_S0385_01681_+_+_DP"
"Cluster_2311","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00114_+_+_Newman_00115_+_+_CO_F","MRSA252_+_+_MRSA252_00164_+_+_MRSA252_00165_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00138_+_+_HO_5096_0412_00139_+_+_CO_F","S0385_+_+_S0385_00183_+_+_S0385_00184_+_+_CO_F"
"Cluster_1740","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02533_+_+_Newman_02534_+_+_DT","MRSA252_+_+_MRSA252_02546_+_+_MRSA252_02547_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02453_+_+_HO_5096_0412_02454_+_+_DT","S0385_+_+_S0385_02518_+_+_S0385_02519_+_+_DT"
"Cluster_1240","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01773_+_+_Newman_01774_+_+_DP","MRSA252_+_+_MRSA252_01846_+_+_MRSA252_01847_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01752_+_+_HO_5096_0412_01753_+_+_DP","S0385_+_+_S0385_01854_+_+_S0385_01855_+_+_DP"
"Cluster_2638","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00981_+_+_Newman_00982_+_+_CO_R","MRSA252_+_+_MRSA252_01017_+_+_MRSA252_01018_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_00928_+_+_HO_5096_0412_00929_+_+_CO_R","S0385_+_+_S0385_01069_+_+_S0385_01070_+_+_CO_R"
"Cluster_538","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02400_+_+_Newman_02401_+_+_CO_R","MRSA252_+_+_MRSA252_02406_+_+_MRSA252_02407_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02319_+_+_HO_5096_0412_02320_+_+_CO_R","S0385_+_+_S0385_02385_+_+_S0385_02386_+_+_CO_R"
"Cluster_1548","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00466_+_+_Newman_00467_+_+_DP","MRSA252_+_+_MRSA252_00453_+_+_MRSA252_00454_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00405_+_+_HO_5096_0412_00406_+_+_DP","S0385_+_+_S0385_00536_+_+_S0385_00537_+_+_DP"
"Cluster_1283","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00189_+_+_Newman_00190_+_+_CO_F","MRSA252_+_+_MRSA252_00239_+_+_MRSA252_00240_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00215_+_+_HO_5096_0412_00216_+_+_CO_F","S0385_+_+_S0385_00261_+_+_S0385_00262_+_+_CO_F"
"Cluster_1874","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02478_+_+_Newman_02479_+_+_DP","MRSA252_+_+_MRSA252_02486_+_+_MRSA252_02487_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02395_+_+_HO_5096_0412_02396_+_+_DP","S0385_+_+_S0385_02464_+_+_S0385_02465_+_+_DP"
"Cluster_2590","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01720_+_+_Newman_01721_+_+_CO_R","MRSA252_+_+_MRSA252_01788_+_+_MRSA252_01789_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01700_+_+_HO_5096_0412_01701_+_+_CO_R","S0385_+_+_S0385_01803_+_+_S0385_01804_+_+_CO_R"
"Cluster_1183","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00915_+_+_Newman_00916_+_+_DP","MRSA252_+_+_MRSA252_00943_+_+_MRSA252_00944_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00857_+_+_HO_5096_0412_00858_+_+_DP","S0385_+_+_S0385_01005_+_+_S0385_01006_+_+_DP"
"Cluster_783","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00680_+_+_Newman_00681_+_+_CO_F","MRSA252_+_+_MRSA252_00667_+_+_MRSA252_00668_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00614_+_+_HO_5096_0412_00615_+_+_CO_F","S0385_+_+_S0385_00752_+_+_S0385_00753_+_+_CO_F"
"Cluster_1834","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01999_+_+_Newman_02000_+_+_DP","MRSA252_+_+_MRSA252_02007_+_+_MRSA252_02008_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01913_+_+_HO_5096_0412_01914_+_+_DP","S0385_+_+_S0385_02019_+_+_S0385_02020_+_+_DP"
"Cluster_1434","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01436_+_+_Newman_01437_+_+_CO_R","MRSA252_+_+_MRSA252_01431_+_+_MRSA252_01432_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01348_+_+_HO_5096_0412_01349_+_+_CO_R","S0385_+_+_S0385_01456_+_+_S0385_01457_+_+_CO_R"
"Cluster_687","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02369_+_+_Newman_02370_+_+_DP","MRSA252_+_+_MRSA252_02375_+_+_MRSA252_02376_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02288_+_+_HO_5096_0412_02289_+_+_DP","S0385_+_+_S0385_02354_+_+_S0385_02355_+_+_DP"
"Cluster_2464","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02746_+_+_Newman_02747_+_+_DT","MRSA252_+_+_MRSA252_02750_+_+_MRSA252_02751_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_02679_+_+_HO_5096_0412_02680_+_+_DT","S0385_+_+_S0385_02727_+_+_S0385_02728_+_+_DT"
"Cluster_770","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00570_+_+_Newman_00571_+_+_CO_F","MRSA252_+_+_MRSA252_00562_+_+_MRSA252_00563_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00512_+_+_HO_5096_0412_00513_+_+_CO_F","S0385_+_+_S0385_00643_+_+_S0385_00644_+_+_CO_F"
"Cluster_2343","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02718_+_+_Newman_02719_+_+_DP","MRSA252_+_+_MRSA252_02721_+_+_MRSA252_02722_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02648_+_+_HO_5096_0412_02649_+_+_DP","S0385_+_+_S0385_02700_+_+_S0385_02701_+_+_DP"
"Cluster_2700","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02251_+_+_Newman_02252_+_+_CO_R","MRSA252_+_+_MRSA252_02260_+_+_MRSA252_02261_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02180_+_+_HO_5096_0412_02181_+_+_CO_R","S0385_+_+_S0385_02231_+_+_S0385_02232_+_+_CO_R"
"Cluster_1331","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02234_+_+_Newman_02235_+_+_DP","MRSA252_+_+_MRSA252_02243_+_+_MRSA252_02244_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_02163_+_+_HO_5096_0412_02164_+_+_DP","S0385_+_+_S0385_02214_+_+_S0385_02215_+_+_DP"
"Cluster_2377","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01507_+_+_Newman_01508_+_+_DP","MRSA252_+_+_MRSA252_01565_+_+_MRSA252_01566_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01489_+_+_HO_5096_0412_01490_+_+_DP","S0385_+_+_S0385_01592_+_+_S0385_01593_+_+_DP"
"Cluster_2315","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02760_+_+_Newman_02761_+_+_CO_F","MRSA252_+_+_MRSA252_02764_+_+_MRSA252_02765_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_02693_+_+_HO_5096_0412_02694_+_+_CO_F","S0385_+_+_S0385_02742_+_+_S0385_02743_+_+_CO_F"
"Cluster_1974","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01718_+_+_Newman_01719_+_+_CO_R","MRSA252_+_+_MRSA252_01786_+_+_MRSA252_01787_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01698_+_+_HO_5096_0412_01699_+_+_CO_R","S0385_+_+_S0385_01801_+_+_S0385_01802_+_+_CO_R"
"Cluster_2687","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01414_+_+_Newman_01415_+_+_CO_F","MRSA252_+_+_MRSA252_01410_+_+_MRSA252_01411_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01327_+_+_HO_5096_0412_01328_+_+_CO_F","S0385_+_+_S0385_01435_+_+_S0385_01436_+_+_CO_F"
"Cluster_2260","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01752_+_+_Newman_01753_+_+_DP","MRSA252_+_+_MRSA252_01821_+_+_MRSA252_01822_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_01732_+_+_HO_5096_0412_01733_+_+_DP","S0385_+_+_S0385_01835_+_+_S0385_01836_+_+_DP"
