Gene,Id_1,Id_2,SNPs,Sites,Length,Nuc_identity,Length_identity
Cluster_590_aligned,HO_5096_0412_+_+_HO_5096_0412_00241_+_+_HO_5096_0412_00242_+_+_DP,S0385_+_+_S0385_00287_+_+_S0385_00288_+_+_DP,13,379,381,0.971855760773967,0.994750656167979
Cluster_2091_aligned,HO_5096_0412_+_+_HO_5096_0412_02164_+_+_HO_5096_0412_02165_+_+_DT,S0385_+_+_S0385_02215_+_+_S0385_02216_+_+_DT,2,108,108,0.987654320987654,1
Cluster_777_aligned,MRSA252_+_+_MRSA252_00876_+_+_MRSA252_00877_+_+_DT,S0385_+_+_S0385_00924_+_+_S0385_00925_+_+_DT,1,331,331,0.978732587076098,0.996978851963746
Cluster_1786_aligned,HO_5096_0412_+_+_HO_5096_0412_00440_+_+_HO_5096_0412_00441_+_+_CO_F,S0385_+_+_S0385_00571_+_+_S0385_00572_+_+_CO_F,0,146,146,1,1
Cluster_2036_aligned,HO_5096_0412_+_+_HO_5096_0412_01155_+_+_HO_5096_0412_01156_+_+_CO_F,S0385_+_+_S0385_01297_+_+_S0385_01298_+_+_CO_F,0,114,114,1,1
Cluster_1589_aligned,HO_5096_0412_+_+_HO_5096_0412_01282_+_+_HO_5096_0412_01283_+_+_CO_F,S0385_+_+_S0385_02086_+_+_S0385_02087_+_+_CO_R_+_+_R,2,174,174,0.988505747126437,1
Cluster_424_aligned,HO_5096_0412_+_+_HO_5096_0412_02102_+_+_HO_5096_0412_02103_+_+_CO_R,S0385_+_+_S0385_02151_+_+_S0385_02152_+_+_CO_R,17,446,446,0.962597201928083,0.999252615844544
Cluster_883_aligned,HO_5096_0412_+_+_HO_5096_0412_02541_+_+_HO_5096_0412_02542_+_+_CO_R,Newman_+_+_Newman_02614_+_+_Newman_02615_+_+_CO_R,2,304,304,0.993421052631579,1
Cluster_1502_aligned,MRSA252_+_+_MRSA252_02016_+_+_MRSA252_02017_+_+_DT,S0385_+_+_S0385_02028_+_+_S0385_02029_+_+_DT,7,188,188,0.962765957446808,1
Cluster_2699_aligned,HO_5096_0412_+_+_HO_5096_0412_02142_+_+_HO_5096_0412_02143_+_+_CO_R,S0385_+_+_S0385_02193_+_+_S0385_02194_+_+_CO_R,0,30,30,1,1
Cluster_805_aligned,HO_5096_0412_+_+_HO_5096_0412_02485_+_+_HO_5096_0412_02486_+_+_CO_R,S0385_+_+_S0385_02549_+_+_S0385_02550_+_+_CO_R,14,319,323,0.965640940503976,0.991744066047472
Cluster_2423_aligned,HO_5096_0412_+_+_HO_5096_0412_00775_+_+_HO_5096_0412_00776_+_+_CO_F,Newman_+_+_Newman_00835_+_+_Newman_00836_+_+_CO_F,3,63,63,0.968253968253968,1
Cluster_550_aligned,HO_5096_0412_+_+_HO_5096_0412_02220_+_+_HO_5096_0412_02221_+_+_CO_R,S0385_+_+_S0385_02285_+_+_S0385_02286_+_+_CO_R,14,392,393,0.971912611198326,0.995759117896522
Cluster_212_aligned,MRSA252_+_+_MRSA252_01845_+_+_MRSA252_01846_+_+_CO_R,S0385_+_+_S0385_01853_+_+_S0385_01854_+_+_CO_R,8,572,572,0.981446299365375,0.953671328671329
Cluster_2181_aligned,HO_5096_0412_+_+_HO_5096_0412_01894_+_+_HO_5096_0412_01895_+_+_CO_R,S0385_+_+_S0385_02000_+_+_S0385_02001_+_+_CO_R,1,96,96,0.989583333333333,1
Cluster_1261_aligned,HO_5096_0412_+_+_HO_5096_0412_02393_+_+_HO_5096_0412_02394_+_+_DT,S0385_+_+_S0385_02462_+_+_S0385_02463_+_+_DT,3,229,230,0.986899563318777,0.995652173913044
Cluster_1311_aligned,HO_5096_0412_+_+_HO_5096_0412_00662_+_+_HO_5096_0412_00663_+_+_CO_F,S0385_+_+_S0385_00799_+_+_S0385_00800_+_+_CO_F,9,219,221,0.977138296905409,0.984917043740573
Cluster_261_aligned,HO_5096_0412_+_+_HO_5096_0412_01976_+_+_HO_5096_0412_01977_+_+_DP,S0385_+_+_S0385_02099_+_+_S0385_02100_+_+_DP,40,538,541,0.947966864013952,0.995686999383857
Cluster_432_aligned,MRSA252_+_+_MRSA252_01086_+_+_MRSA252_01087_+_+_DP,S0385_+_+_S0385_01137_+_+_S0385_01138_+_+_DP,1,441,441,0.997732426303855,1
Cluster_893_aligned,HO_5096_0412_+_+_HO_5096_0412_01181_+_+_HO_5096_0412_01182_+_+_CO_F,S0385_+_+_S0385_01321_+_+_S0385_01322_+_+_CO_F,4,302,302,0.991169977924945,1
Cluster_44_aligned,Newman_+_+_Newman_02130_+_+_Newman_02131_+_+_DT,HO_5096_0412_+_+_HO_5096_0412_02055_+_+_HO_5096_0412_02056_+_+_DT,7,841,853,0.991676575505351,0.985932004689332
Cluster_2095_aligned,Newman_+_+_Newman_00367_+_+_Newman_00368_+_+_CO_R,MRSA252_+_+_MRSA252_00338_+_+_MRSA252_00339_+_+_CO_R,9,107,108,0.91588785046729,0.990740740740741
Cluster_2496_aligned,HO_5096_0412_+_+_HO_5096_0412_02037_+_+_HO_5096_0412_02038_+_+_DP,S0385_+_+_S0385_01578_+_+_S0385_01579_+_+_DP,3,55,56,0.969472502805836,0.970238095238095
Cluster_1111_aligned,MRSA252_+_+_MRSA252_02061_+_+_MRSA252_02062_+_+_CO_R,S0385_+_+_S0385_02098_+_+_S0385_02099_+_+_CO_R,2,257,257,0.992217898832685,1
Cluster_1477_aligned,S0385_+_+_S0385_02355_+_+_S0385_02356_+_+_DT,Newman_+_+_Newman_02370_+_+_Newman_02371_+_+_DT,5,191,193,0.973821511129482,0.989637305699482
Cluster_2360_aligned,HO_5096_0412_+_+_HO_5096_0412_01002_+_+_HO_5096_0412_01003_+_+_DP,S0385_+_+_S0385_01144_+_+_S0385_01145_+_+_DP,0,69,69,1,1
Cluster_880_aligned,MRSA252_+_+_MRSA252_01780_+_+_MRSA252_01781_+_+_DT,Newman_+_+_Newman_01712_+_+_Newman_01713_+_+_DT,4,304,306,0.986842105263158,0.993464052287582
Cluster_69_aligned,HO_5096_0412_+_+_HO_5096_0412_01842_+_+_HO_5096_0412_01843_+_+_CO_R,Newman_+_+_Newman_01865_+_+_Newman_01866_+_+_CO_R,24,771,771,0.968871595330739,1
Cluster_2296_aligned,HO_5096_0412_+_+_HO_5096_0412_00920_+_+_HO_5096_0412_00921_+_+_CO_R,S0385_+_+_S0385_01061_+_+_S0385_01062_+_+_CO_R,1,78,78,0.982905982905983,1
Cluster_1500_aligned,HO_5096_0412_+_+_HO_5096_0412_02210_+_+_HO_5096_0412_02211_+_+_CO_R,S0385_+_+_S0385_02275_+_+_S0385_02276_+_+_CO_R,3,188,188,0.986702127659574,1
Cluster_1397_aligned,HO_5096_0412_+_+_HO_5096_0412_00495_+_+_HO_5096_0412_00496_+_+_CO_F,S0385_+_+_S0385_00626_+_+_S0385_00627_+_+_CO_F,1,207,207,0.995169082125604,1
Cluster_997_aligned,MRSA252_+_+_MRSA252_02723_+_+_MRSA252_02724_+_+_CO_R,S0385_+_+_S0385_02702_+_+_S0385_02703_+_+_CO_R,6,276,277,0.976495055721237,0.998194945848375
Cluster_1317_aligned,HO_5096_0412_+_+_HO_5096_0412_01075_+_+_HO_5096_0412_01077_+_+_CO_F,S0385_+_+_S0385_01214_+_+_S0385_01216_+_+_CO_F,2,220,220,0.996969696969697,1
Cluster_2407_aligned,HO_5096_0412_+_+_HO_5096_0412_02371_+_+_HO_5096_0412_02372_+_+_DT,S0385_+_+_S0385_02439_+_+_S0385_02440_+_+_DT,2,65,65,0.98974358974359,1
Cluster_887_aligned,HO_5096_0412_+_+_HO_5096_0412_01363_+_+_HO_5096_0412_01364_+_+_DP,Newman_+_+_Newman_01451_+_+_Newman_01452_+_+_DP,6,303,303,0.981848184818482,1
Cluster_2401_aligned,HO_5096_0412_+_+_HO_5096_0412_00342_+_+_HO_5096_0412_00343_+_+_DT,Newman_+_+_Newman_00396_+_+_Newman_00397_+_+_DT,3,65,65,0.969230769230769,1
Cluster_2140_aligned,HO_5096_0412_+_+_HO_5096_0412_02080_+_+_HO_5096_0412_02081_+_+_DT,Newman_+_+_Newman_02153_+_+_Newman_02154_+_+_DT,1,101,101,0.99009900990099,1
Cluster_1391_aligned,MRSA252_+_+_MRSA252_01354_+_+_MRSA252_01355_+_+_DT,S0385_+_+_S0385_01377_+_+_S0385_01378_+_+_DT,7,206,208,0.959546925566343,0.990384615384615
Cluster_1310_aligned,HO_5096_0412_+_+_HO_5096_0412_00654_+_+_HO_5096_0412_00655_+_+_DP,S0385_+_+_S0385_00791_+_+_S0385_00792_+_+_DP,1,208,229,0.993589743589744,0.908296943231441
Cluster_122_aligned,HO_5096_0412_+_+_HO_5096_0412_02179_+_+_HO_5096_0412_02180_+_+_CO_R,S0385_+_+_S0385_02230_+_+_S0385_02231_+_+_CO_R,16,671,673,0.975177713907222,0.997523526498266
Cluster_1678_aligned,HO_5096_0412_+_+_HO_5096_0412_00388_+_+_HO_5096_0412_00389_+_+_CO_F,S0385_+_+_S0385_00520_+_+_S0385_00521_+_+_CO_F,2,161,161,0.991718426501035,1
Cluster_1326_aligned,HO_5096_0412_+_+_HO_5096_0412_01232_+_+_HO_5096_0412_01233_+_+_CO_R,S0385_+_+_S0385_01357_+_+_S0385_01358_+_+_CO_R,2,217,219,0.990783410138249,0.990867579908676
Cluster_393_aligned,HO_5096_0412_+_+_HO_5096_0412_01620_+_+_HO_5096_0412_01622_+_+_CO_R,S0385_+_+_S0385_01723_+_+_S0385_01725_+_+_CO_R,5,460,460,0.988405797101449,1
Cluster_2687_aligned,HO_5096_0412_+_+_HO_5096_0412_01327_+_+_HO_5096_0412_01328_+_+_CO_F,S0385_+_+_S0385_01435_+_+_S0385_01436_+_+_CO_F,0,31,31,1,1
Cluster_1248_aligned,HO_5096_0412_+_+_HO_5096_0412_02438_+_+_HO_5096_0412_02439_+_+_CO_R,S0385_+_+_S0385_02505_+_+_S0385_02506_+_+_CO_R,3,227,233,0.98095550918412,0.975679542203147
Cluster_734_aligned,S0385_+_+_S0385_01080_+_+_S0385_01081_+_+_DT,MRSA252_+_+_MRSA252_01028_+_+_MRSA252_01029_+_+_DT,6,342,343,0.976608187134503,0.997084548104956
Cluster_125_aligned,HO_5096_0412_+_+_HO_5096_0412_02491_+_+_HO_5096_0412_02492_+_+_CO_R,S0385_+_+_S0385_02555_+_+_S0385_02556_+_+_CO_R,15,668,670,0.980538922155688,0.997014925373134
Cluster_2675_aligned,HO_5096_0412_+_+_HO_5096_0412_01068_+_+_HO_5096_0412_01069_+_+_CO_F,S0385_+_+_S0385_01207_+_+_S0385_01208_+_+_CO_F,0,32,32,1,1
Cluster_517_aligned,HO_5096_0412_+_+_HO_5096_0412_01627_+_+_HO_5096_0412_01628_+_+_CO_R,S0385_+_+_S0385_01730_+_+_S0385_01731_+_+_CO_R,0,406,406,0.995073891625616,1
Cluster_1596_aligned,HO_5096_0412_+_+_HO_5096_0412_01174_+_+_HO_5096_0412_01175_+_+_DP,S0385_+_+_S0385_01313_+_+_S0385_01314_+_+_DP,1,173,173,0.994219653179191,1
Cluster_1016_aligned,MRSA252_+_+_MRSA252_00546_+_+_MRSA252_00548_+_+_CO_F,S0385_+_+_S0385_00627_+_+_S0385_00629_+_+_CO_F,1,271,274,0.997539975399754,0.989051094890511
Cluster_1607_aligned,HO_5096_0412_+_+_HO_5096_0412_01712_+_+_HO_5096_0412_01713_+_+_DP,S0385_+_+_S0385_01815_+_+_S0385_01816_+_+_DP,0,171,171,1,1
Cluster_1939_aligned,HO_5096_0412_+_+_HO_5096_0412_02211_+_+_HO_5096_0412_02212_+_+_CO_R,S0385_+_+_S0385_02276_+_+_S0385_02277_+_+_CO_R,4,127,127,0.968503937007874,1
Cluster_2313_aligned,HO_5096_0412_+_+_HO_5096_0412_00564_+_+_HO_5096_0412_00565_+_+_CO_F,Newman_+_+_Newman_00630_+_+_Newman_00631_+_+_CO_F,4,74,76,0.945945945945946,0.973684210526316
Cluster_561_aligned,HO_5096_0412_+_+_HO_5096_0412_01680_+_+_HO_5096_0412_01681_+_+_CO_R,S0385_+_+_S0385_01783_+_+_S0385_01784_+_+_CO_R,22,389,389,0.939160239931448,1
Cluster_2285_aligned,HO_5096_0412_+_+_HO_5096_0412_01930_+_+_HO_5096_0412_01931_+_+_CO_R,S0385_+_+_S0385_02036_+_+_S0385_02037_+_+_CO_R,2,80,80,0.9875,1
Cluster_2332_aligned,HO_5096_0412_+_+_HO_5096_0412_00185_+_+_HO_5096_0412_00186_+_+_CO_F,Newman_+_+_Newman_00160_+_+_Newman_00161_+_+_CO_F,0,73,73,1,1
Cluster_612_aligned,HO_5096_0412_+_+_HO_5096_0412_01021_+_+_HO_5096_0412_01022_+_+_DP,S0385_+_+_S0385_01162_+_+_S0385_01163_+_+_DP,2,374,374,0.990551135457879,0.99331550802139
Cluster_2485_aligned,MRSA252_+_+_MRSA252_00312_+_+_MRSA252_00313_+_+_CO_R,S0385_+_+_S0385_00403_+_+_S0385_00404_+_+_CO_R,0,57,57,1,1
Cluster_1665_aligned,HO_5096_0412_+_+_HO_5096_0412_01297_+_+_HO_5096_0412_01298_+_+_CO_F,S0385_+_+_S0385_02073_+_+_S0385_02074_+_+_CO_R_+_+_R,2,163,163,0.993865030674847,1
Cluster_1829_aligned,MRSA252_+_+_MRSA252_00591_+_+_MRSA252_00592_+_+_DT,S0385_+_+_S0385_00673_+_+_S0385_00674_+_+_DT,7,141,141,0.936001350894968,0.997635933806147
Cluster_267_aligned,HO_5096_0412_+_+_HO_5096_0412_02259_+_+_HO_5096_0412_02260_+_+_CO_R,S0385_+_+_S0385_02325_+_+_S0385_02326_+_+_CO_R,17,537,537,0.963687150837989,1
Cluster_2124_aligned,HO_5096_0412_+_+_HO_5096_0412_01523_+_+_HO_5096_0412_01524_+_+_DP,S0385_+_+_S0385_01626_+_+_S0385_01627_+_+_DP,1,104,104,0.990384615384615,1
Cluster_1719_aligned,MRSA252_+_+_MRSA252_00855_+_+_MRSA252_00856_+_+_CO_R,S0385_+_+_S0385_00903_+_+_S0385_00904_+_+_CO_R,0,148,155,0.980477039300569,0.978494623655914
Cluster_1809_aligned,HO_5096_0412_+_+_HO_5096_0412_02536_+_+_HO_5096_0412_02537_+_+_CO_F,S0385_+_+_S0385_02601_+_+_S0385_02602_+_+_CO_F,6,143,143,0.967365967365967,1
Cluster_790_aligned,MRSA252_+_+_MRSA252_01458_+_+_MRSA252_01459_+_+_CO_R,S0385_+_+_S0385_01483_+_+_S0385_01484_+_+_CO_R,11,328,328,0.975569354317396,0.997967479674797
Cluster_2257_aligned,HO_5096_0412_+_+_HO_5096_0412_02714_+_+_HO_5096_0412_02715_+_+_DT,S0385_+_+_S0385_02762_+_+_S0385_02763_+_+_DT,1,84,84,0.98015873015873,1
Cluster_1215_aligned,HO_5096_0412_+_+_HO_5096_0412_02049_+_+_HO_5096_0412_02050_+_+_DT,Newman_+_+_Newman_02124_+_+_Newman_02125_+_+_DT,5,237,237,0.978902953586498,1
Cluster_1996_aligned,HO_5096_0412_+_+_HO_5096_0412_00690_+_+_HO_5096_0412_00691_+_+_CO_F,S0385_+_+_S0385_00827_+_+_S0385_00828_+_+_CO_F,6,119,119,0.943594531829826,0.994397759103641
Cluster_2462_aligned,HO_5096_0412_+_+_HO_5096_0412_02475_+_+_HO_5096_0412_02476_+_+_CO_F,S0385_+_+_S0385_02539_+_+_S0385_02540_+_+_CO_F,0,59,59,1,1
Cluster_229_aligned,HO_5096_0412_+_+_HO_5096_0412_00458_+_+_HO_5096_0412_00459_+_+_CO_F,S0385_+_+_S0385_00589_+_+_S0385_00590_+_+_CO_F,8,559,559,0.985688729874776,1
Cluster_618_aligned,HO_5096_0412_+_+_HO_5096_0412_01800_+_+_HO_5096_0412_01801_+_+_CO_R,S0385_+_+_S0385_01912_+_+_S0385_01913_+_+_CO_R,13,370,372,0.964864864864865,0.994623655913978
Cluster_1536_aligned,HO_5096_0412_+_+_HO_5096_0412_00923_+_+_HO_5096_0412_00924_+_+_DP,S0385_+_+_S0385_01064_+_+_S0385_01065_+_+_DP,0,181,181,0.998158379373849,1
Cluster_2303_aligned,HO_5096_0412_+_+_HO_5096_0412_01490_+_+_HO_5096_0412_01491_+_+_DT,S0385_+_+_S0385_01593_+_+_S0385_01594_+_+_DT,2,77,77,0.980519480519481,1
Cluster_1043_aligned,HO_5096_0412_+_+_HO_5096_0412_00106_+_+_HO_5096_0412_00107_+_+_CO_F,S0385_+_+_S0385_00152_+_+_S0385_00153_+_+_CO_F,4,267,267,0.982521847690387,1
Cluster_2432_aligned,HO_5096_0412_+_+_HO_5096_0412_01608_+_+_HO_5096_0412_01609_+_+_CO_R,S0385_+_+_S0385_01711_+_+_S0385_01712_+_+_CO_R,1,62,62,0.983870967741935,1
Cluster_672_aligned,HO_5096_0412_+_+_HO_5096_0412_00188_+_+_HO_5096_0412_00189_+_+_DT,S0385_+_+_S0385_00234_+_+_S0385_00235_+_+_DT,11,357,361,0.968323996265173,0.991689750692521
Cluster_1316_aligned,HO_5096_0412_+_+_HO_5096_0412_00753_+_+_HO_5096_0412_00754_+_+_CO_F,S0385_+_+_S0385_00888_+_+_S0385_00889_+_+_CO_F,1,220,220,0.990909090909091,1
Cluster_2269_aligned,HO_5096_0412_+_+_HO_5096_0412_01073_+_+_HO_5096_0412_01074_+_+_CO_F,S0385_+_+_S0385_01212_+_+_S0385_01213_+_+_CO_F,1,82,82,0.991869918699187,1
Cluster_107_aligned,Newman_+_+_Newman_02721_+_+_Newman_02722_+_+_DP,S0385_+_+_S0385_02703_+_+_S0385_02704_+_+_DP,8,686,687,0.987845190213729,0.998059194565745
Cluster_1907_aligned,HO_5096_0412_+_+_HO_5096_0412_00663_+_+_HO_5096_0412_00664_+_+_CO_F,S0385_+_+_S0385_00800_+_+_S0385_00801_+_+_CO_F,1,131,131,0.997455470737914,1
Cluster_411_aligned,MRSA252_+_+_MRSA252_00609_+_+_MRSA252_00610_+_+_CO_F,HO_5096_0412_+_+_HO_5096_0412_00558_+_+_HO_5096_0412_00559_+_+_CO_F,21,447,452,0.953020134228188,0.988938053097345
Cluster_191_aligned,Newman_+_+_Newman_00689_+_+_Newman_00690_+_+_DT,S0385_+_+_S0385_00761_+_+_S0385_00762_+_+_DT,22,580,588,0.962327880428386,0.993197278911565
Cluster_1750_aligned,HO_5096_0412_+_+_HO_5096_0412_01040_+_+_HO_5096_0412_01041_+_+_CO_F,S0385_+_+_S0385_01178_+_+_S0385_01179_+_+_CO_F,9,151,151,0.937086092715232,1
Cluster_362_aligned,HO_5096_0412_+_+_HO_5096_0412_00677_+_+_HO_5096_0412_00678_+_+_CO_F,S0385_+_+_S0385_00814_+_+_S0385_00815_+_+_CO_F,5,473,473,0.99154334038055,1
Cluster_1688_aligned,HO_5096_0412_+_+_HO_5096_0412_02413_+_+_HO_5096_0412_02414_+_+_DP,S0385_+_+_S0385_02480_+_+_S0385_02481_+_+_DP,0,160,160,0.997916666666667,1
Cluster_1710_aligned,HO_5096_0412_+_+_HO_5096_0412_01441_+_+_HO_5096_0412_01442_+_+_CO_R,S0385_+_+_S0385_00373_+_+_S0385_00374_+_+_CO_F_+_+_R,6,156,156,0.967948717948718,1
Cluster_988_aligned,S0385_+_+_S0385_00019_+_+_S0385_00020_+_+_CO_F,Newman_+_+_Newman_00018_+_+_Newman_00019_+_+_CO_F,8,277,278,0.955475330926594,0.996402877697842
Cluster_723_aligned,HO_5096_0412_+_+_HO_5096_0412_01577_+_+_HO_5096_0412_01578_+_+_DP,S0385_+_+_S0385_01680_+_+_S0385_01681_+_+_DP,0,345,345,0.998067632850241,1
Cluster_1103_aligned,HO_5096_0412_+_+_HO_5096_0412_01036_+_+_HO_5096_0412_01037_+_+_CO_F,S0385_+_+_S0385_01177_+_+_S0385_01178_+_+_CO_F,19,257,258,0.961064043977921,0.996124031007752
Cluster_2597_aligned,HO_5096_0412_+_+_HO_5096_0412_00321_+_+_HO_5096_0412_00322_+_+_CO_R,S0385_+_+_S0385_00436_+_+_S0385_00437_+_+_CO_R,0,42,42,1,1
Cluster_607_aligned,HO_5096_0412_+_+_HO_5096_0412_02743_+_+_HO_5096_0412_02744_+_+_DP,S0385_+_+_S0385_02792_+_+_S0385_02793_+_+_DP,7,377,377,0.980106100795756,1
Cluster_532_aligned,HO_5096_0412_+_+_HO_5096_0412_01125_+_+_HO_5096_0412_01126_+_+_DP,S0385_+_+_S0385_01265_+_+_S0385_01266_+_+_DP,9,400,400,0.970833333333333,1
Cluster_2224_aligned,HO_5096_0412_+_+_HO_5096_0412_01911_+_+_HO_5096_0412_01912_+_+_CO_R,S0385_+_+_S0385_02017_+_+_S0385_02018_+_+_CO_R,0,89,89,1,1
Cluster_769_aligned,HO_5096_0412_+_+_HO_5096_0412_02165_+_+_HO_5096_0412_02166_+_+_CO_R,S0385_+_+_S0385_02216_+_+_S0385_02217_+_+_CO_R,6,335,335,0.985074626865672,1
Cluster_721_aligned,MRSA252_+_+_MRSA252_00410_+_+_MRSA252_00411_+_+_CO_F,S0385_+_+_S0385_00494_+_+_S0385_00495_+_+_CO_F,11,346,346,0.968208092485549,1
Cluster_2559_aligned,HO_5096_0412_+_+_HO_5096_0412_00556_+_+_HO_5096_0412_00557_+_+_CO_F,Newman_+_+_Newman_00619_+_+_Newman_00620_+_+_CO_F,4,46,46,0.91304347826087,1
Cluster_2632_aligned,HO_5096_0412_+_+_HO_5096_0412_01816_+_+_HO_5096_0412_01817_+_+_CO_R,MRSA252_+_+_MRSA252_01914_+_+_MRSA252_01915_+_+_CO_R,3,38,38,0.921052631578947,1
Cluster_919_aligned,HO_5096_0412_+_+_HO_5096_0412_00395_+_+_HO_5096_0412_00396_+_+_CO_F,MRSA252_+_+_MRSA252_00443_+_+_MRSA252_00444_+_+_CO_F,10,290,293,0.96551724137931,0.989761092150171
Cluster_1915_aligned,HO_5096_0412_+_+_HO_5096_0412_01553_+_+_HO_5096_0412_01554_+_+_CO_R,S0385_+_+_S0385_01656_+_+_S0385_01657_+_+_CO_R,2,130,130,0.992307692307692,1
Cluster_860_aligned,HO_5096_0412_+_+_HO_5096_0412_02171_+_+_HO_5096_0412_02172_+_+_DP,S0385_+_+_S0385_02222_+_+_S0385_02223_+_+_DP,23,308,310,0.966478235895712,0.996774193548387
Cluster_1482_aligned,MRSA252_+_+_MRSA252_02071_+_+_MRSA252_02072_+_+_CO_R,Newman_+_+_Newman_02063_+_+_Newman_02064_+_+_CO_R,1,190,191,0.997368421052632,0.994764397905759
Cluster_1711_aligned,MRSA252_+_+_MRSA252_01439_+_+_MRSA252_01440_+_+_CO_R,S0385_+_+_S0385_01464_+_+_S0385_01465_+_+_CO_R,3,156,156,0.978591122139509,0.997863247863248
Cluster_1081_aligned,HO_5096_0412_+_+_HO_5096_0412_02241_+_+_HO_5096_0412_02242_+_+_CO_R,S0385_+_+_S0385_02306_+_+_S0385_02307_+_+_CO_R,11,260,262,0.955857648099028,0.994274809160305
Cluster_1701_aligned,HO_5096_0412_+_+_HO_5096_0412_00281_+_+_HO_5096_0412_00282_+_+_DP,S0385_+_+_S0385_00328_+_+_S0385_00329_+_+_DP,2,157,157,0.983014861995754,1
Cluster_2146_aligned,HO_5096_0412_+_+_HO_5096_0412_00808_+_+_HO_5096_0412_00809_+_+_DP,S0385_+_+_S0385_00942_+_+_S0385_00943_+_+_DP,1,100,100,0.996666666666667,1
Cluster_718_aligned,S0385_+_+_S0385_02737_+_+_S0385_02738_+_+_CO_R,Newman_+_+_Newman_02755_+_+_Newman_02756_+_+_CO_R,25,346,347,0.932562620423892,0.997118155619596
Cluster_2284_aligned,HO_5096_0412_+_+_HO_5096_0412_01896_+_+_HO_5096_0412_01897_+_+_DP,S0385_+_+_S0385_02002_+_+_S0385_02003_+_+_DP,0,80,80,1,1
Cluster_651_aligned,HO_5096_0412_+_+_HO_5096_0412_01527_+_+_HO_5096_0412_01528_+_+_DT,S0385_+_+_S0385_01630_+_+_S0385_01631_+_+_DT,9,363,364,0.986229679411498,0.998626373626374
Cluster_1670_aligned,HO_5096_0412_+_+_HO_5096_0412_01096_+_+_HO_5096_0412_01097_+_+_DT,Newman_+_+_Newman_01214_+_+_Newman_01215_+_+_DT,3,162,162,0.972222222222222,1
